id|record_type|cameo_title|compare_strings
58ce47e1fea250209c0a262b|Cameo.Phoenix.agents|PRISON|prison
58ce47e1fea250209c0a262c|Cameo.Phoenix.agents|PRISONS_DEPARTMENT|prisons+department
58ce47e1fea250209c0a262d|Cameo.Phoenix.agents|PRISON_HOUSE|prison+house
58ce47e1fea250209c0a262e|Cameo.Phoenix.agents|PUBLIC_SECURITY_AUTHORITY|public+security+authority
58ce47e1fea250209c0a262f|Cameo.Phoenix.agents|PUBLIC_SECURITY_BUREAU|public+security+bureau
58ce47e1fea250209c0a2630|Cameo.Phoenix.agents|RIOT_POLICE|riot+police
58ce47e1fea250209c0a2631|Cameo.Phoenix.agents|SECURITY_CHECK|security+check
58ce47e1fea250209c0a2632|Cameo.Phoenix.agents|SECURITY_FORCE|security+force
58ce47e1fea250209c0a2633|Cameo.Phoenix.agents|SECURITY_OFFICER|security+officer
58ce47e1fea250209c0a2634|Cameo.Phoenix.agents|SECURITY_OFFICIAL|security+official
58ce47e1fea250209c0a2635|Cameo.Phoenix.agents|SHERIFF|sheriff
58ce47e1fea250209c0a2636|Cameo.Phoenix.agents|SHERIFF_DEPUTY|sheriff+deputy
58ce47e1fea250209c0a2637|Cameo.Phoenix.agents|STATE_PRISON|state+prison
58ce47e1fea250209c0a2638|Cameo.Phoenix.agents|STATE_TROOPER|state+trooper
58ce47e1fea250209c0a2639|Cameo.Phoenix.agents|ABDUCTOR|abductor
58ce47e1fea250209c0a263a|Cameo.Phoenix.agents|ARMED_BANDIT|armed+bandit
58ce47e1fea250209c0a263b|Cameo.Phoenix.agents|ARMS-RUNNER|arms-runner
58ce47e1fea250209c0a263c|Cameo.Phoenix.agents|ARMS_DEALER|arms+dealer
58ce47e1fea250209c0a263d|Cameo.Phoenix.agents|ARSONIST|arsonist
58ce47e1fea250209c0a263e|Cameo.Phoenix.agents|ASSAILANT|assailant
58ce47e1fea250209c0a263f|Cameo.Phoenix.agents|BANDIT|bandit
58ce47e1fea250209c0a2640|Cameo.Phoenix.agents|BLACKMAILER|blackmailer
58ce47e1fea250209c0a2641|Cameo.Phoenix.agents|BRANOKKER|branokker
58ce47e1fea250209c0a2642|Cameo.Phoenix.agents|BRIGAND|brigand
58ce47e1fea250209c0a2643|Cameo.Phoenix.agents|BURGLAR|burglar
58ce47e1fea250209c0a2644|Cameo.Phoenix.agents|CARJACKER|carjacker
58ce47e1fea250209c0a2645|Cameo.Phoenix.agents|CARTEL|cartel
58ce47e1fea250209c0a2646|Cameo.Phoenix.agents|CATTLE_THIEF|cattle+thief
58ce47e1fea250209c0a2647|Cameo.Phoenix.agents|CONMAN|conman
