212,gianni+salvadori,102.375,105,75,43,118,0
213,bernard+l+feringa,97.64705882,102,71,43,114,0
214,carlos+javier+rodrig0ez,102.5217391,106,79,43,122,0
215,????+???????,995.3333333,1077,1058,43,1101,0
216,????????+???????,1021.5625,1088.5,1057,43,1100,0
217,khaled+ben+m0stafˇ,105.1666667,103,182,43,225,0
218,??????????,12496.4,12501,89,12451,12540,0
219,astrid+kl0g,102.2727273,107,74,43,117,0
220,sascha+lange,99.08333333,102,72,43,115,0
221,elisabeth+manzy,103.1333333,105,79,43,122,0
222,ole+ritter,102.9,109.5,73,43,116,0
223,stefaan+van+bockstaele,100.0909091,101.5,75,43,118,0
224,andr?i+deshitsia,110,105,190,43,233,0
225,????+??????,986.7272727,1082,1043,43,1086,0
226,nikita+serqeyevi?+xr0??ov,129.12,113,308,43,351,0
227,mohammed+al+m0rsi,99.47058824,108,74,43,117,0
228,???????+??????,1009.642857,1078.5,1060,43,1103,0
229,clotilde+armand,101.2,105,73,43,116,0
230,elisabeth+manzi,102.0666667,105,79,43,122,0
231,jean-pa0l+servais,100.0588235,106,75,43,118,0
232,jean-cla0de+jÅncker,105.9473684,101,209,43,252,0
233,carlos+veiga+anjos,99.61111111,105.5,75,43,118,0
234,london+editorial+reference+0nit,100.8709677,105,74,43,117,0
235,g0y+b0rgess,104.2727273,114,78,43,121,0
236,miha?l+mikov,112.9166667,107.5,196,43,239,0
237,k0no+winn,103.5555556,110,76,43,119,0
238,?????+??????,998.3333333,1085.5,1057,43,1100,0
239,alberto+athie,100.8461538,104,73,43,116,0
240,??£??????,24803.33333,24067,38464,183,38647,0
241,pa0l+bro0wer,104.25,111.5,76,43,119,0
242,bahjat+so0leiman,102.125,105.5,74,43,117,0
243,j0an+lõpez+dõriga,115.5294118,106,200,43,243,0
244,tommy+s0harto,106.3846154,111,78,43,121,0
245,hainan+airlines,101.4,105,72,43,115,0
246,paliparang+pandaigdig+ng+tan+son+nhat,97.32432432,104,73,43,116,0
247,?????+????????,1006.928571,1081.5,1045,43,1088,0
248,otto+klamba0er,103.2142857,108.5,74,43,117,0
249,hajd0+lˇszlõ,124,108,200,43,243,0
250,?????????,12498.88889,12499,81,12458,12539,0
251,??????????+????????,1026.947368,1082,1057,43,1100,0
252,???????,12505.57143,12501,85,12455,12540,0
253,ab0llah+gÅl,112.2727273,104,209,43,252,0
254,renato+volante,103.7857143,110,75,43,118,0
255,man0el+fernando+espirito+santo,101.4666667,109.5,74,43,117,0
256,tim+steffens,102.9166667,107,73,43,116,0
257,????+??????,11362,12487,12488,43,12531,0
258,jean+marc+gilissen,98.94444444,105,72,43,115,0
259,jan+malicki,98.72727273,105,67,43,110,0
260,jean-baptiste+colbert,100.4285714,105,73,43,116,0
261,yhdistyneiden+kansak0ntien+elintarvike+ja+maatalo0sj?rjest?,107.7457627,107,203,43,246,0
262,van+cleve,99.44444444,101,75,43,118,0
263,srey+deok,101.4444444,107,78,43,121,0
264,dominik+maroh,101.9230769,107,71,43,114,0
265,?????????+??????,1015.875,1081,1046,43,1089,0
266,london+paralympics,104.5555556,109.5,78,43,121,0
267,cecilia+hagen,97.84615385,101,67,43,110,0
268,ra0l+meireles,102.5384615,108,74,43,117,0
269,alessandro+kalc,101.4666667,107,72,43,115,0
270,londoni+b?rs,114.25,110,203,43,246,0
271,ahmed+wall,98.6,102.5,76,43,119,0
272,valerie+deom,100.6666667,103,75,43,118,0
273,bastien+h0g0es,103,104.5,74,43,117,0
274,henrik+belfrage,100.5333333,103,71,43,114,0
275,dominik+marks,102.4615385,107,72,43,115,0
276,freek+staps,102.0909091,107,73,43,116,0
277,hellenic+statistical+a0thority,103.7333333,106.5,78,43,121,0
278,n0ri+oeztÅrk,117.6666667,112.5,209,43,252,0
279,constantin+spün0,113.25,110.5,183,43,226,0
280,spezialchemiekonzern+ciba,103.84,105,79,43,122,0
281,carl+christian+grythe-hoff,99.69230769,104,78,43,121,0
282,matt+go0ras,103.4545455,111,74,43,117,0
283,c0mh0riyeti+anayasas?na,113.5652174,109,262,43,305,0
284,rodrigo+ag0illar,103.125,106.5,74,43,117,0
285,?????+???????,1475.692308,1588,1567,43,1610,0
